Loan_ID,Customer_ID,Product_Type,Loan_Amount,Loan_Start_Date,Loan_End_Date,Interest_Rate,Customer_Age,Customer_Location,Loan_Status,Repayment_Frequency,Late_Payments,Credit_Score,Repayment_History
L000063,C04770,Mutual Fund,294361.63,2017-01-08 13:10:30,2027-01-06 13:10:30,9.43,18,Maharashtra,Defaulted,Monthly,5,575,Poor
L000064,C48208,Gold Loan,848747.05,2015-10-06 13:10:30,2022-10-04 13:10:30,7.74,28,Goa,Closed,Monthly,0,618,Excellent
L000065,C12496,Investment Insurance,560259.01,2018-06-04 13:10:30,2025-06-02 13:10:30,10.21,75,Goa,Closed,Yearly,4,327,Excellent
L000066,C08687,Microlending Loan,357348.83,2016-07-10 13:10:30,2025-07-08 13:10:30,7.48,69,Delhi,Defaulted,Yearly,1,623,Poor
L000067,C40396,Microlending Loan,224194.49,2018-03-09 13:10:30,2021-03-08 13:10:30,15.35,42,Karnataka,Defaulted,Monthly,4,560,Poor
L000068,C44044,Loan,447296.38,2022-10-10 13:10:30,2026-10-09 13:10:30,8.6,49,Maharashtra,Active,Monthly,3,534,Good
L000069,C06882,Loan,193458.57,2015-10-24 13:10:30,2021-10-22 13:10:30,13.57,49,Delhi,Defaulted,Quarterly,1,541,Poor
L000070,C30308,Investment Insurance,528579.58,2020-05-14 13:10:30,2030-05-12 13:10:30,6.84,23,Delhi,Defaulted,Monthly,5,535,Poor
L000071,C47895,Investment Insurance,711953.1,2020-05-13 13:10:30,2030-05-11 13:10:30,10.4,50,Maharashtra,Defaulted,Yearly,0,581,Poor
L000072,C48690,Mutual Fund,777106.4,2020-07-30 13:10:30,2025-07-29 13:10:30,9.23,46,Karnataka,Defaulted,Yearly,5,674,Poor
L000073,C15755,Mutual Fund,607469.6,2017-02-24 13:10:30,2025-02-22 13:10:30,10.64,48,Maharashtra,Active,Monthly,2,628,Good
L000074,C46344,Microlending Loan,737341.64,2023-05-05 13:10:30,2026-05-04 13:10:30,8.05,32,Delhi,Defaulted,Yearly,0,675,Poor
L000075,C43545,Gold Loan,1093531.55,2015-01-19 13:10:30,2019-01-18 13:10:30,15.73,28,Karnataka,Closed,Monthly,3,504,Excellent
L000076,C18660,Mutual Fund,546528.54,2020-12-12 13:10:30,2028-12-10 13:10:30,14.93,25,Goa,Active,Yearly,3,611,Good
L000077,C01472,Investment Insurance,447128.97,2017-03-29 13:10:30,2025-03-27 13:10:30,7.59,61,Maharashtra,Closed,Monthly,5,523,Excellent
L000078,C07702,Microlending Loan,356648.54,2019-07-08 13:10:30,2028-07-05 13:10:30,14.71,27,Maharashtra,Closed,Yearly,3,541,Excellent
L000079,C01353,Investment Insurance,369126.81,2022-08-17 13:10:30,2029-08-15 13:10:30,7.92,9,Goa,Defaulted,Monthly,3,560,Poor
L000080,C18668,Microlending Loan,853440.99,2023-02-23 13:10:30,2030-02-21 13:10:30,7.73,60,Delhi,Active,Monthly,0,614,Good
L000081,C35156,Gold Loan,612059.25,2024-08-31 13:10:30,2031-08-30 13:10:30,17.89,65,Goa,Closed,Quarterly,4,512,Excellent
L000082,C33241,Microlending Loan,475539.17,2015-08-05 13:10:30,2021-08-03 13:10:30,9.7,27,Goa,Active,Monthly,4,497,Good
L000083,C18989,Mutual Fund,232554.11,2021-11-04 13:10:30,2024-11-03 13:10:30,11.49,24,Delhi,Closed,Monthly,4,581,Excellent
L000084,C41350,Gold Loan,931308.46,2015-03-06 13:10:30,2019-03-05 13:10:30,12.19,27,Goa,Defaulted,Monthly,3,765,Poor
L000085,C04403,Investment Insurance,666057.77,2023-11-01 13:10:30,2030-10-30 13:10:30,11.59,41,Maharashtra,Defaulted,Yearly,0,602,Poor
L000086,C00528,Gold Loan,697564.84,2024-05-26 13:10:30,2029-05-25 13:10:30,8.09,29,Goa,Defaulted,Yearly,0,616,Poor
L000087,C39881,Mutual Fund,796308.8,2015-02-25 13:10:30,2020-02-24 13:10:30,10.8,55,Maharashtra,Defaulted,Quarterly,4,568,Poor
L000088,C05837,Loan,581463.15,2020-05-10 13:10:30,2024-05-09 13:10:30,10.75,39,Karnataka,Closed,Quarterly,1,564,Excellent
L000089,C15584,Mutual Fund,234601.22,2022-05-21 13:10:30,2025-05-20 13:10:30,10.37,42,Delhi,Active,Yearly,5,762,Good
L000090,C47465,Mutual Fund,-81046.78,2018-09-10 13:10:30,2024-09-08 13:10:30,6.34,75,Goa,Active,Yearly,1,553,Good
L000091,C05523,Microlending Loan,610096.48,2017-06-14 13:10:30,2020-06-13 13:10:30,6.52,58,Delhi,Active,Quarterly,0,517,Good
L000092,C07924,Loan,181970.87,2022-10-09 13:10:30,2030-10-07 13:10:30,5.04,32,Delhi,Active,Quarterly,5,669,Good
L000093,C12179,Investment Insurance,546289.4,2015-08-29 13:10:30,2019-08-28 13:10:30,9.35,30,Delhi,Defaulted,Yearly,4,575,Poor
L000094,C12847,Investment Insurance,737063.48,2015-10-31 13:10:30,2024-10-28 13:10:30,14.7,54,Delhi,Defaulted,Monthly,0,634,Poor
L000095,C29607,Gold Loan,390648.58,2020-06-24 13:10:30,2023-06-24 13:10:30,4.5,57,Maharashtra,Defaulted,Monthly,2,716,Poor
L000096,C06371,Investment Insurance,316276.77,2022-01-06 13:10:30,2029-01-04 13:10:30,4.48,52,Delhi,Closed,Monthly,1,486,Excellent
L000097,C30381,Mutual Fund,301712.65,2018-04-24 13:10:30,2026-04-22 13:10:30,8.78,26,Karnataka,Active,Yearly,4,562,Good
L000098,C00758,Microlending Loan,528623.02,2016-04-26 13:10:30,2019-04-26 13:10:30,5.44,63,Maharashtra,Defaulted,Yearly,5,610,Poor
L000099,C44913,Gold Loan,454571.83,2017-04-11 13:10:30,2024-04-09 13:10:30,5.73,26,Goa,Active,Quarterly,0,567,Good
L000100,C11324,Microlending Loan,308784.16,2023-01-20 13:10:30,2026-01-19 13:10:30,16.84,39,Maharashtra,Active,Quarterly,2,588,Good
L000101,C26019,Loan,734603.45,2024-06-24 13:10:30,2028-06-23 13:10:30,8.76,57,Delhi,Active,Yearly,1,577,Good
L000102,C08440,Microlending Loan,616090.24,2021-05-22 13:10:30,2024-05-21 13:10:30,13.68,32,Maharashtra,Active,Quarterly,1,572,Good
L000103,C25823,Mutual Fund,474102.47,2019-12-11 13:10:30,2024-12-09 13:10:30,9.48,60,Goa,Active,Monthly,5,637,Good
L000104,C10868,Gold Loan,634199.25,2016-12-26 13:10:30,2025-12-24 13:10:30,10.07,21,Maharashtra,Active,Yearly,1,632,Good
L000105,C18539,Investment Insurance,290030.51,2022-09-21 13:10:30,2030-09-19 13:10:30,12.6,23,Maharashtra,Closed,Monthly,0,685,Excellent
L000106,C29256,Mutual Fund,524452.09,2015-10-05 13:10:30,2020-10-03 13:10:30,10.15,27,Delhi,Defaulted,Monthly,4,654,Poor
L000107,C35940,Loan,464000.56,2020-09-28 13:10:30,2027-09-27 13:10:30,11.07,21,Maharashtra,Defaulted,Quarterly,1,610,Poor
L000108,C11769,Loan,453495.01,2024-02-24 13:10:30,2027-02-23 13:10:30,6.55,54,Maharashtra,Closed,Yearly,4,405,Excellent
L000109,C34138,Mutual Fund,372944.98,2015-04-09 13:10:30,2025-04-06 13:10:30,10.54,28,Maharashtra,Closed,Yearly,0,520,Excellent
L000110,C12950,Mutual Fund,570562.55,2023-02-02 13:10:30,2033-01-30 13:10:30,8.23,25,Karnataka,Closed,Monthly,0,565,Excellent
L000111,C22952,Investment Insurance,392542.34,2022-04-27 13:10:30,2030-04-25 13:10:30,15.12,20,Maharashtra,Closed,Quarterly,5,757,Excellent
L000112,C14413,Microlending Loan,194986.86,2015-02-15 13:10:30,2019-02-14 13:10:30,13.6,35,Goa,Defaulted,Quarterly,1,663,Poor
L000113,C01289,Investment Insurance,869030.39,2017-07-15 13:10:30,2025-07-13 13:10:30,9.05,46,Goa,Defaulted,Monthly,0,574,Poor
L000114,C11791,Investment Insurance,615364.1,2019-09-15 13:10:30,2029-09-12 13:10:30,9.7,44,Maharashtra,Defaulted,Quarterly,4,564,Poor
L000115,C49808,Microlending Loan,436544.12,2020-06-20 13:10:30,2029-06-18 13:10:30,7.34,50,Karnataka,Active,Yearly,2,391,Good
L000116,C07600,Mutual Fund,487709.07,2024-09-28 13:10:30,2028-09-27 13:10:30,8.59,42,Goa,Closed,Monthly,1,680,Excellent
L000117,C04358,Loan,364031.73,2021-02-17 13:10:30,2030-02-15 13:10:30,10.69,30,Maharashtra,Active,Yearly,0,693,Good
L000118,C33261,Mutual Fund,609029.95,2022-09-26 13:10:30,2026-09-25 13:10:30,10.44,38,Goa,Defaulted,Monthly,0,746,Poor
L000119,C39572,Mutual Fund,-6723.94,2015-01-13 13:10:30,2021-01-11 13:10:30,10.67,10,Goa,Active,Yearly,4,616,Good
L000120,C15491,Loan,696541.35,2019-05-31 13:10:30,2029-05-28 13:10:30,9.27,55,Karnataka,Active,Quarterly,3,692,Good
L000121,C09635,Loan,847503.84,2015-02-17 13:10:30,2021-02-15 13:10:30,10.83,38,Delhi,Closed,Quarterly,3,709,Excellent
L000122,C05247,Gold Loan,676050.3,2023-02-03 13:10:30,2026-02-02 13:10:30,12.24,62,Goa,Defaulted,Monthly,0,595,Poor
L000123,C25482,Microlending Loan,633571.53,2021-01-04 13:10:30,2030-01-02 13:10:30,7.95,60,Delhi,Active,Yearly,1,679,Good
L000124,C29387,Mutual Fund,544089.89,2021-12-13 13:10:30,2031-12-11 13:10:30,5.61,36,Karnataka,Active,Monthly,0,555,Good
L000125,C18047,Mutual Fund,848691.63,2023-12-16 13:10:30,2032-12-13 13:10:30,8.4,28,Karnataka,Defaulted,Yearly,2,558,Poor
L000126,C19776,Microlending Loan,156349.46,2021-06-17 13:10:30,2028-06-15 13:10:30,13.43,55,Goa,Active,Monthly,1,625,Good
L000127,C24601,Investment Insurance,618655.69,2023-06-27 13:10:30,2028-06-25 13:10:30,6.77,43,Karnataka,Closed,Quarterly,2,568,Excellent
L000128,C29466,Gold Loan,435089.42,2023-07-22 13:10:30,2027-07-21 13:10:30,10.84,28,Goa,Active,Monthly,4,512,Good
L000129,C46602,Gold Loan,488773.94,2020-07-21 13:10:30,2028-07-19 13:10:30,9.75,64,Maharashtra,Active,Monthly,3,588,Good
L000130,C32999,Loan,482783.08,2015-02-14 13:10:30,2025-02-11 13:10:30,16.81,35,Goa,Defaulted,Yearly,5,601,Poor
L000131,C14135,Gold Loan,620532.18,2017-12-25 13:10:30,2020-12-24 13:10:30,5.73,37,Karnataka,Closed,Yearly,5,482,Excellent
L000132,C48127,Mutual Fund,249807.49,2017-01-29 13:10:30,2024-01-28 13:10:30,10.33,29,Maharashtra,Defaulted,Quarterly,5,638,Poor
L000133,C36173,Investment Insurance,852131.47,2024-01-03 13:10:30,2033-12-31 13:10:30,13.45,35,Karnataka,Active,Yearly,2,472,Good
L000134,C22736,Mutual Fund,414364.44,2018-07-03 13:10:30,2024-07-01 13:10:30,14.15,45,Goa,Defaulted,Monthly,5,402,Poor
L000135,C44577,Investment Insurance,995079.12,2023-04-21 13:10:30,2026-04-20 13:10:30,10.29,37,Delhi,Active,Monthly,5,534,Good
L000136,C42278,Loan,635380.63,2015-12-02 13:10:30,2025-11-29 13:10:30,8.74,27,Goa,Closed,Quarterly,3,607,Excellent
L000137,C14518,Microlending Loan,461609.1,2023-07-02 13:10:30,2026-07-01 13:10:30,13.23,21,Delhi,Closed,Yearly,4,635,Excellent
L000138,C15828,Mutual Fund,348273.66,2019-08-21 13:10:30,2024-08-19 13:10:30,8.66,11,Delhi,Active,Quarterly,2,612,Good
L000139,C46631,Mutual Fund,433489.31,2021-01-29 13:10:30,2030-01-27 13:10:30,13.58,33,Delhi,Closed,Monthly,0,736,Excellent
L000140,C29399,Loan,398044.05,2016-11-19 13:10:30,2021-11-18 13:10:30,10.92,27,Goa,Defaulted,Yearly,0,525,Poor
L000141,C09366,Gold Loan,905569.48,2015-05-18 13:10:30,2021-05-16 13:10:30,9.33,25,Delhi,Defaulted,Monthly,1,522,Poor
L000142,C06043,Mutual Fund,592269.61,2018-02-04 13:10:30,2022-02-03 13:10:30,6.48,27,Karnataka,Active,Yearly,5,673,Good
L000143,C48264,Mutual Fund,470986.02,2021-05-10 13:10:30,2028-05-08 13:10:30,14.68,45,Goa,Defaulted,Yearly,0,616,Poor
L000144,C01670,Mutual Fund,629796.93,2023-12-23 13:10:30,2027-12-22 13:10:30,6.58,24,Maharashtra,Closed,Monthly,0,442,Excellent
L000145,C15653,Mutual Fund,334927.29,2020-08-20 13:10:30,2028-08-18 13:10:30,7.99,29,Delhi,Defaulted,Monthly,3,597,Poor
L000146,C36973,Gold Loan,432072.76,2017-09-12 13:10:30,2020-09-11 13:10:30,14.17,41,Karnataka,Active,Quarterly,3,656,Good
L000147,C17013,Gold Loan,554920.43,2024-02-05 13:10:30,2028-02-04 13:10:30,9.3,30,Maharashtra,Defaulted,Quarterly,3,661,Poor
L000148,C07856,Mutual Fund,353640.57,2015-08-18 13:10:30,2020-08-16 13:10:30,5.57,39,Karnataka,Defaulted,Yearly,5,638,Poor
L000149,C20479,Mutual Fund,805543.53,2021-09-27 13:10:30,2026-09-26 13:10:30,10.5,39,Delhi,Defaulted,Monthly,5,614,Poor
L000150,C08127,Investment Insurance,482459.3,2024-11-20 13:10:30,2034-11-18 13:10:30,9.91,36,Delhi,Active,Yearly,3,696,Good
L000151,C48870,Mutual Fund,393844.92,2018-03-13 13:10:30,2026-03-11 13:10:30,9.38,7,Delhi,Defaulted,Quarterly,2,713,Poor
L000152,C18640,Gold Loan,107583.81,2020-06-14 13:10:30,2026-06-13 13:10:30,5.7,49,Karnataka,Closed,Monthly,0,723,Excellent
L000153,C28969,Mutual Fund,293650.92,2018-03-02 13:10:30,2026-02-28 13:10:30,6.85,35,Maharashtra,Active,Monthly,0,606,Good
L000154,C00330,Mutual Fund,297246.95,2018-10-09 13:10:30,2028-10-06 13:10:30,12.13,13,Goa,Closed,Quarterly,4,530,Excellent
L000155,C31522,Gold Loan,413901.63,2017-02-19 13:10:30,2024-02-18 13:10:30,4.49,20,Maharashtra,Closed,Quarterly,1,662,Excellent
L000156,C04279,Loan,460410.96,2019-11-18 13:10:30,2022-11-17 13:10:30,11.35,37,Goa,Defaulted,Monthly,1,715,Poor
L000157,C15664,Mutual Fund,566875.53,2015-08-06 13:10:30,2018-08-05 13:10:30,8.35,34,Maharashtra,Closed,Yearly,0,440,Excellent
L000158,C03745,Microlending Loan,586597.99,2023-12-29 13:10:30,2031-12-27 13:10:30,13.01,44,Goa,Active,Quarterly,5,511,Good
L000159,C41569,Microlending Loan,878701.74,2020-11-09 13:10:30,2024-11-08 13:10:30,9.52,54,Delhi,Defaulted,Yearly,0,453,Poor
L000160,C00471,Loan,684691.6,2024-04-23 13:10:30,2028-04-22 13:10:30,8.23,56,Delhi,Active,Quarterly,1,584,Good
L000161,C20866,Investment Insurance,559220.51,2022-10-20 13:10:30,2026-10-19 13:10:30,14.19,46,Delhi,Defaulted,Monthly,1,528,Poor
L000162,C32296,Investment Insurance,507945.4,2017-05-16 13:10:30,2026-05-14 13:10:30,16.21,41,Maharashtra,Active,Monthly,2,690,Good
L000163,C48407,Loan,426810.1,2021-01-30 13:10:30,2024-01-30 13:10:30,5.96,45,Delhi,Closed,Quarterly,0,699,Excellent
L000164,C40726,Mutual Fund,578384.81,2021-09-03 13:10:30,2025-09-02 13:10:30,10.91,38,Maharashtra,Defaulted,Monthly,0,728,Poor
L000165,C23207,Loan,477092.1,2016-06-24 13:10:30,2020-06-23 13:10:30,5.67,59,Karnataka,Closed,Monthly,1,629,Excellent
L000166,C15031,Loan,867433.26,2021-11-05 13:10:30,2029-11-03 13:10:30,8.33,25,Maharashtra,Defaulted,Yearly,1,531,Poor
L000167,C07573,Gold Loan,760979.78,2024-06-16 13:10:30,2031-06-15 13:10:30,8.86,42,Goa,Defaulted,Yearly,4,504,Poor
L000168,C15652,Loan,459877.07,2022-05-09 13:10:30,2029-05-07 13:10:30,8.09,42,Karnataka,Active,Yearly,5,678,Good
L000169,C18440,Investment Insurance,661714.66,2022-02-16 13:10:30,2025-02-15 13:10:30,7.68,29,Goa,Active,Quarterly,4,620,Good
L000170,C45316,Mutual Fund,22814.51,2024-09-03 13:10:30,2029-09-02 13:10:30,16.67,25,Maharashtra,Defaulted,Yearly,3,627,Poor
L000171,C24067,Investment Insurance,619446.44,2017-06-08 13:10:30,2025-06-06 13:10:30,6.91,50,Goa,Defaulted,Yearly,4,533,Poor
L000172,C23495,Investment Insurance,559963.29,2019-02-20 13:10:30,2029-02-17 13:10:30,8.26,16,Goa,Active,Yearly,5,558,Good
L000173,C29545,Microlending Loan,556456.41,2017-06-24 13:10:30,2025-06-22 13:10:30,10.08,37,Maharashtra,Closed,Monthly,5,554,Excellent
L000174,C10315,Loan,616231.56,2024-06-10 13:10:30,2031-06-09 13:10:30,13.95,63,Maharashtra,Closed,Yearly,2,411,Excellent
L000175,C11361,Mutual Fund,83134.63,2017-08-24 13:10:30,2022-08-23 13:10:30,9.27,64,Maharashtra,Closed,Quarterly,3,590,Excellent
L000176,C23267,Investment Insurance,883724.05,2016-12-05 13:10:30,2025-12-03 13:10:30,13.03,34,Delhi,Closed,Monthly,2,815,Excellent
L000177,C15818,Microlending Loan,406481.42,2019-05-19 13:10:30,2027-05-17 13:10:30,5.09,35,Delhi,Closed,Quarterly,2,499,Excellent
L000178,C47368,Microlending Loan,560336.55,2023-11-28 13:10:30,2027-11-27 13:10:30,12.02,64,Maharashtra,Closed,Quarterly,1,640,Excellent
L000179,C02261,Gold Loan,591168.27,2024-04-12 13:10:30,2032-04-10 13:10:30,5.71,44,Maharashtra,Active,Quarterly,5,708,Good
L000180,C45710,Gold Loan,429319.98,2019-04-07 13:10:30,2029-04-04 13:10:30,15.4,48,Karnataka,Active,Monthly,0,546,Good
L000181,C01661,Investment Insurance,632660.34,2015-07-13 13:10:30,2024-07-10 13:10:30,9.51,48,Goa,Defaulted,Yearly,1,621,Poor
L000182,C44735,Microlending Loan,883582.43,2024-02-27 13:10:30,2028-02-26 13:10:30,13.2,18,Karnataka,Active,Quarterly,1,597,Good
L000183,C05831,Gold Loan,391473.59,2015-07-16 13:10:30,2021-07-14 13:10:30,11.75,25,Goa,Defaulted,Monthly,5,533,Poor
